Kitchen,cake,food,the most scrumptious and delicios looking cake you have ever seen,pantry,null,Bathroom Three,null,Dining Room,This is the kitchen with rats running around. Looks like the last person that was in this kitchen left the kitchen in rush and left the food on the stove which has now gone bad and stinks. There are stairs leading downstairs.,Game/Icons/kitchen.jpg,Game/maps/kitchen.jpg,Basement,null,null,null,null,Game/Icons/cake.png,null
Dining Room,null,weapon,itemDescription,table,Courtyard,Main Hall,Kitchen,Parlor,You see a dining table with giant pot and inside that pot you a find the remains of a human head. You immediately throw up.,Game/Icons/diningroom.jpg,Game/maps/diningroom.jpg,null,null,null,null,null,null,null
Parlor,gun,weapon,gun with one round,cabinet,null,Library,Dining Room,null,You opened a squeaky door to one of the biggest room in the whole mansion. You see furnitures covered with white cloth. Cobwebs all over the room. The antique pictures hung on the wall are off-centered. Explore the room to see if you can find anything usefult to you.,Game/Icons/parlor.jpg,Game/maps/parlor.jpg,null,null,null,null,null,Game/Icons/gun.png,null
Garden,null,weapon,itemDescription,tool shed,Gazebo,null,null,Courtyard,You arrive in an area filled with weird smells. Looking down you see vegtables and fruits planted. All of them decayed and foul stench oozing out.,Game/Icons/garden.jpg,Game/maps/garden.jpg,null,null,null,null,null,null,null
Courtyard,null,weapon,itemDescription,null,Gazebo,Dining Room,Garden,Maze, Entering the courtyard you see nothing as darkness fills the area. You hear spookey noises in all directions and want to do nothing but run out of there.,Game/Icons/courtyard.jpg,Game/maps/courtyard.jpg,null,null,null,null,null,null,null
Gazebo,health pack,health,A first-Aid pack. Can be useful in restoring health and curing injuires,null,null,Courtyard,Garden,Maze,You arrive in a big circular Gazebo. Its nightime and you can hear the wind howling. Looking down you see blood staining the ground. You realize its fresh blood. This makes your stomach squirm and fear overtakes you. You promise to yourself to do everything you can to escaoe this cursed building,Game/Icons/gazebo.jpg,Game/maps/gazebo.jpg,null,null,null,null,null,Game/Icons/healthpack.png,null
Maze,null,weapon,itemDescription,null,Gazebo,null,Courtyard,null,You arrive in front of a maze. Every hedge was a uniform green - cut with a square top - and in the centre was a glorious oak tree.Suddenly without warning the night sky is lit up by flashes of electricity. The lightening crashes through the sky as loud as a thunderbolt getting louder and louder screeching through the air. You quickly dash through the maze and see a key laying near the tree at the center.,Game/Icons/maze.jpg,Game/maps/maze.jpg,null,null,null,null,null,null,null
Laundry Room,null,weapon,itemDescription,Washing Machine,Basement,null,null,Storage,You arrive in a what seems like a laundry room. You hear the sounds of the washing running and vibrating as it washes clothes.,Game/Icons/laundry.jpg,Game/maps/laundry.jpg,null,null,null,null,null,null,null
Basement,null,weapon,itemDescription,null,Boiler,Laundry Room,null,Storage,Coming down the stairs you arrive in the basement with the lights flickering. As soon as you look to your left you see a mangled corspe with peices of it missing. You jump in fright. You realize this was another victum of that monster.,Game/Icons/basement.jpg,Game/maps/basement.jpg,Kitchen,null,null,null,null,null,null
Storage,health pack,health,A first-Aid pack. Can be useful in restoring health and curing injuires,Locker,Electrical,Laundry Room,Basement,null,This is a storage room. You see cobwebs all over the place and is crowded with broken furnitures. You see lockers overflowing with clothes,Game/Icons/storage.jpg,Game/maps/storage.jpg,null,null,null,null,null,Game/Icons/healthpack.png,Floor Two Hall
Boiler,bolt cutters,escape,These bolt cutters are rusty but should be good for one or two more cuts. Use them to open doors,Boiler,null,Basement,null,Electrical, You enter a steamy Boiler room. A horrible stench almost makes you faint. From the corner of your eye you see a grotesque gargoyle statue that makes you jump in fright.,Game/Icons/boiler.jpg,Game/maps/boiler.jpg,null,null,null,null,null,Game/Icons/boltcut.png,null
Electrical,null,weapon,itemDescription,Cabinet,null,Storage,Boiler,null,you open the door and see a dark room with nothing but a cabinet. On the wall you see an Electrical panel. to your west is a storage room and to your north is a steamy boiler room.,Game/Icons/electrical.jpg,Game/maps/electrical.jpg,null,null,null,null,null,null,null
